Age,Gender,Height_m,Weight_kg,BMI,Activity_Level,Label,Recommendation
32,0,1.48,36.92,16.85,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
56,0,1.82,60.85,18.37,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
21,1,1.5,46.45,20.65,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,1,1.49,66.3,29.86,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
50,0,1.65,49.22,18.08,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
28,0,1.44,63.16,30.46,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,1,1.54,43.44,18.32,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
59,0,1.95,88.72,23.33,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
42,0,1.61,39.44,15.22,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
31,1,1.84,60.14,17.76,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
42,0,1.92,66.86,18.14,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
47,1,1.41,59.14,29.75,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
21,1,1.93,57.88,15.54,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
39,0,1.63,53.26,20.05,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
19,1,1.47,49.71,23.01,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
37,1,1.84,116.75,34.48,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,0,1.86,53.87,15.57,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
34,1,1.44,70.4,33.95,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,0,1.69,82.29,28.81,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
43,0,1.97,70.8,18.24,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
50,1,1.42,49.67,24.63,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
48,0,1.9,118.01,32.69,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
51,1,1.65,71.28,26.18,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
47,0,1.89,78.56,21.99,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
55,1,1.89,82.59,23.12,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
55,0,1.92,119.72,32.48,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
30,1,1.98,93.41,23.83,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
27,0,1.88,83.3,23.57,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
47,0,1.68,75.27,26.67,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
32,0,1.9,107.23,29.7,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
49,0,1.93,64.05,17.2,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
24,1,1.41,38.19,19.21,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
50,0,1.53,62.14,26.54,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
24,0,1.66,41.91,15.21,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
23,1,1.98,77.39,19.74,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
56,1,1.91,110.35,30.25,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
22,0,1.99,136.33,34.43,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
41,0,1.92,75.15,20.39,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
37,0,1.44,31.3,15.1,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
36,1,1.52,36.15,15.65,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
24,1,1.56,78.74,32.35,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
35,1,1.53,52.66,22.5,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
44,0,1.72,64.4,21.77,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
20,1,1.58,55.17,22.1,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
47,0,1.92,68.3,18.53,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
38,0,1.64,61.46,22.85,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
32,1,1.52,71.24,30.83,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,0,1.45,40.27,19.15,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
53,1,1.69,59.34,20.78,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
29,0,1.97,120.8,31.13,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
52,0,1.57,79.94,32.43,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
56,1,1.75,95.05,31.04,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
19,1,1.42,36.6,18.15,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,0,1.58,40.15,16.08,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,0,1.79,86.17,26.89,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
38,1,1.82,60.05,18.13,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
43,0,1.99,68.47,17.29,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
45,1,1.88,53.4,15.11,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
54,1,1.62,39.6,15.09,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
47,0,1.52,80.19,34.71,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,1,1.82,76.56,23.11,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
40,0,1.76,66.43,21.45,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
45,0,1.62,52.14,19.87,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
23,0,1.98,103.01,26.28,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
51,0,1.73,83.41,27.87,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
50,1,1.66,77.55,28.14,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,1,1.98,59.07,15.07,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
22,1,1.95,116.56,30.65,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
48,1,1.54,36.55,15.41,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
49,1,1.74,68.98,22.78,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
45,1,1.62,58.99,22.48,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
49,0,1.93,105.98,28.45,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,0,1.84,84.07,24.83,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
36,1,1.65,59.23,21.75,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
43,1,1.58,44.33,17.76,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,0,1.68,65.06,23.05,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
37,1,1.8,64.68,19.96,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,1,1.49,67.35,30.34,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
18,0,1.89,84.04,23.53,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
19,0,1.87,107.24,30.67,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
43,0,1.9,73.54,20.37,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
42,0,1.61,39.62,15.28,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
22,1,1.48,42.95,19.61,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
36,1,1.75,69.69,22.76,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
36,0,1.81,55.49,16.94,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
56,0,1.4,32.68,16.67,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
56,0,1.57,42.19,17.11,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
45,0,1.98,101.52,25.9,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,1,1.9,54.2,15.01,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,0,1.42,38.05,18.87,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
28,0,1.74,87.87,29.02,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
53,0,1.62,51.05,19.45,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
38,0,1.93,80.16,21.52,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
19,0,1.69,52.41,18.35,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
49,0,1.73,87.85,29.35,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
27,1,1.87,97.01,27.74,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
53,0,1.9,126.3,34.99,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,1,1.51,37.96,16.65,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
29,1,1.74,52.24,17.25,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
55,1,1.74,84.22,27.82,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
24,1,1.88,77.22,21.85,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,0,1.8,94.33,29.11,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
58,1,1.73,84.74,28.32,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,1,1.72,50.37,17.03,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
50,0,1.84,57.61,17.02,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
44,1,1.46,50.52,23.7,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
24,0,1.8,72.3,22.32,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
29,1,1.59,45.29,17.91,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
33,0,1.61,59.88,23.1,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
38,1,1.81,51.76,15.8,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
51,0,1.98,65.76,16.77,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
50,1,1.68,62.94,22.3,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
56,1,1.71,52.26,17.87,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
59,1,1.61,45.59,17.59,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
47,0,1.59,64.24,25.41,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
23,0,1.53,40.55,17.32,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
19,0,1.68,51.84,18.37,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,1,1.47,38.3,17.73,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
37,0,1.49,54.5,24.55,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
48,0,1.94,108.46,28.82,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
41,0,1.93,106.97,28.72,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
45,1,1.73,53.08,17.74,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
29,0,1.71,87.64,29.97,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
29,1,1.82,57.71,17.42,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
32,0,1.99,91.1,23,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
33,1,1.93,60.15,16.15,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
22,1,1.99,132.51,33.46,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
21,0,1.5,55.09,24.49,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
32,1,1.52,35.54,15.38,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
59,0,1.57,49.65,20.14,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
32,0,1.42,50,24.8,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
49,0,1.49,51.33,23.12,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
42,0,1.89,69.12,19.35,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
41,0,1.61,76.07,29.35,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
44,0,1.82,113.2,34.17,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
42,0,1.82,88.12,26.6,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,0,1.87,59.6,17.04,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
37,0,1.63,79.4,29.89,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
46,0,1.98,122.13,31.15,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
37,0,1.69,55.72,19.51,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
58,1,1.92,57.63,15.63,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
29,1,1.5,57.7,25.64,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
49,0,1.59,42.85,16.95,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
48,1,1.43,63.17,30.89,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,1,1.63,60.97,22.95,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
58,1,1.87,68.43,19.57,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
28,0,1.53,58.67,25.06,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
54,0,1.44,34.19,16.49,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
56,0,1.92,68.25,18.51,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
27,1,1.82,73.94,22.32,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
53,1,1.78,48.06,15.17,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
45,0,1.86,54.87,15.86,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
53,1,1.65,68.46,25.15,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
36,0,1.44,36.61,17.65,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
57,0,1.46,49.37,23.16,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
36,0,1.86,54.1,15.64,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
47,1,1.89,97.79,27.38,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
39,0,1.97,119.54,30.8,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
41,1,1.77,90.68,28.95,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
36,1,1.83,71.29,21.29,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
28,1,1.94,100.76,26.77,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
45,1,1.97,70.29,18.11,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
27,1,1.57,40.31,16.35,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
40,0,1.68,88.17,31.24,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
34,1,1.99,61.32,15.48,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
56,1,1.57,82.88,33.63,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
39,0,1.59,42.67,16.88,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
57,1,1.47,42.79,19.8,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
52,1,1.52,64.95,28.11,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,0,1.72,68.09,23.02,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
35,1,1.73,73.16,24.45,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
52,0,1.6,72.43,28.29,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
30,0,1.9,73.66,20.41,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
29,0,1.9,119.01,32.97,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
42,1,1.45,41.86,19.91,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
26,1,1.48,68.13,31.1,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
36,1,1.56,77.07,31.67,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
42,1,1.97,61.39,15.82,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
21,0,1.55,42.99,17.89,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
42,0,1.69,54.92,19.23,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
54,0,1.57,44.6,18.1,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
33,0,1.43,42.69,20.88,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
27,0,1.44,60.61,29.23,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
38,0,1.73,101.75,34,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
21,0,1.77,59.9,19.12,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
31,1,1.95,98.15,25.81,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
43,1,1.74,57.65,19.04,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
25,0,1.92,89.18,24.19,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
51,1,1.63,53.72,20.22,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
46,0,1.85,106.66,31.16,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
25,1,1.63,72.03,27.11,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
30,0,1.44,50.5,24.35,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
56,1,1.85,70.74,20.67,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
35,1,1.57,72.5,29.41,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
19,0,1.92,66.63,18.08,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
49,0,1.82,56.7,17.12,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
52,0,1.72,94.43,31.92,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
49,0,1.68,51.17,18.13,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
46,0,1.74,97.7,32.27,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
46,0,1.67,51.88,18.6,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
45,0,1.54,67.97,28.66,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
28,1,1.71,70.05,23.96,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
42,1,1.9,61.13,16.93,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
45,0,1.94,89.47,23.77,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
28,0,1.86,67.87,19.62,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
18,0,1.86,77.38,22.37,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
58,1,1.68,57.84,20.49,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
34,0,1.74,63.98,21.13,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
56,0,1.85,66.3,19.37,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
57,0,1.93,108.97,29.26,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
55,1,1.87,79.61,22.77,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
21,1,1.72,52.83,17.86,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
55,0,1.7,50.65,17.53,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
44,1,1.47,32.78,15.17,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
37,1,1.68,88.85,31.48,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
45,1,1.47,70.88,32.8,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
39,0,1.62,60.99,23.24,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
52,1,1.57,62,25.15,1,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
40,1,1.74,59.23,19.56,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
39,1,1.41,47.74,24.01,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
25,0,1.69,46.81,16.39,1,0,"Underfit: Increase calories, protein-rich diet, strength training"
32,0,1.96,85.58,22.28,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
38,0,1.52,46.21,20,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
53,0,1.81,58.94,17.99,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
28,0,1.4,63.39,32.34,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
26,0,1.63,44.82,16.87,2,0,"Underfit: Increase calories, protein-rich diet, strength training"
43,0,1.43,69.75,34.11,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
49,0,1.53,67.09,28.66,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
50,0,1.92,104.36,28.31,3,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
53,1,1.46,46.54,21.83,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
33,0,1.44,51.27,24.73,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
52,1,1.96,59.77,15.56,3,0,"Underfit: Increase calories, protein-rich diet, strength training"
18,0,1.85,91,26.59,2,2,"Overfit: Calorie deficit, low sugar diet, cardio + HIIT"
58,0,1.42,44.29,21.97,3,1,"Fit: Maintain balanced diet, regular cardio + strength"
46,1,1.97,79.24,20.42,2,1,"Fit: Maintain balanced diet, regular cardio + strength"
30,1,1.49,52.88,23.82,1,1,"Fit: Maintain balanced diet, regular cardio + strength"
